i,lid,rc,expansion,time,recall
0, 46.5525182553582, 1.6129138469696045, 1.0178672075271606, 0.02155900001525879, 0.18
1, 47.624630076235434, 1.5662497282028198, 1.0170999765396118, 0.006325054168701172, 0.26
2, 51.35232996093705, 1.4618695974349976, 1.015949010848999, 0.00020132064819335937, 0.01
3, 68.75994132697325, 1.3252755403518677, 1.0080740451812744, 0.00017600059509277345, 0.09
4, 66.22123715973417, 1.3742997646331787, 1.0108586549758911, 0.00016980171203613282, 0.19
5, 80.40969806647402, 1.3037290573120117, 1.0095940828323364, 0.0001659393310546875, 0.01
6, 31.465880154669996, 1.502854585647583, 1.024926781654358, 0.00017480850219726564, 0.0
7, 65.47336273589747, 1.4043054580688477, 1.0103185176849365, 0.00015430450439453126, 0.07
8, 29.788334721757245, 1.4541151523590088, 1.0140005350112915, 0.00018057823181152343, 0.18
9, 60.117530866089695, 1.4417428970336914, 1.0129040479660034, 0.00017876625061035155, 0.05
10, 19.661015954847276, 1.598319411277771, 1.0273959636688232, 0.00018320083618164062, 0.01
11, 76.84799098485588, 1.4181028604507446, 1.0106829404830933, 0.00016813278198242189, 0.06
12, 39.47906552648778, 1.669335126876831, 1.0192872285842896, 0.001047515869140625, 0.27
13, 46.79687694354235, 1.5459961891174316, 1.0129334926605225, 0.0008498191833496094, 0.26
14, 9.637145416498777, 1.7408982515335083, 1.0863385200500488, 0.00048379898071289064, 0.73
15, 29.220238566989526, 1.5128915309906006, 1.0191409587860107, 0.0003098964691162109, 0.03
16, 9.004933463459363, 1.5652539730072021, 1.0852315425872803, 0.0002262592315673828, 0.0
17, 31.174312157500868, 1.389331340789795, 1.021013617515564, 0.00030570030212402345, 0.52
18, 30.374785063962943, 1.6541430950164795, 1.0218669176101685, 0.00044384002685546873, 0.34
19, 42.435425383319, 1.6801488399505615, 1.0218465328216553, 0.00043158531188964845, 0.0
20, 63.890777875382994, 1.3586221933364868, 1.0137931108474731, 0.0003166675567626953, 0.31
21, 42.43806107438569, 1.4959391355514526, 1.0177810192108154, 0.00017161369323730468, 0.25
22, 74.75263965893892, 1.3118129968643188, 1.011662483215332, 0.0001632213592529297, 0.07
23, 19.74121613712094, 1.9690886735916138, 1.0443202257156372, 0.0001838207244873047, 0.73
24, 58.456283052661334, 1.4493556022644043, 1.0144917964935303, 0.00017976760864257812, 0.24
25, 36.798164716040446, 1.6853601932525635, 1.013525128364563, 0.00017194747924804689, 0.3
26, 35.278989147679845, 1.6623860597610474, 1.0223016738891602, 0.0002543926239013672, 0.29
27, 49.29735627505017, 1.6421003341674805, 1.0151593685150146, 0.00018072128295898438, 0.24
28, 41.82292951549244, 1.3914449214935303, 1.015209436416626, 0.000174713134765625, 0.33
29, 68.39656684111134, 1.358991026878357, 1.0113072395324707, 0.0003200531005859375, 0.13
30, 36.88081574631936, 1.534448504447937, 1.0148159265518188, 0.0001575946807861328, 0.3
31, 57.45783233029871, 1.4539549350738525, 1.0145385265350342, 0.00020222663879394532, 0.21
32, 35.50126514068735, 1.6398800611495972, 1.0155258178710938, 0.00018439292907714843, 0.19
33, 34.54270353627021, 1.8162565231323242, 1.0184659957885742, 0.00018301010131835938, 0.34
34, 48.9717066164709, 1.8685734272003174, 1.018996000289917, 0.0003017902374267578, 0.32
35, 43.76564060338513, 1.5758591890335083, 1.013532042503357, 0.00018982887268066407, 0.2
36, 44.33137296699504, 1.4099323749542236, 1.011837124824524, 0.0001861572265625, 0.03
37, 58.62896141931386, 1.5669565200805664, 1.0155783891677856, 0.00017261505126953125, 0.0
38, 33.124293696515814, 1.5451630353927612, 1.0224446058273315, 0.0014403820037841796, 0.02
39, 66.10222012331651, 1.403916358947754, 1.0112662315368652, 0.00021009445190429689, 0.1
40, 65.20099257951006, 1.3151865005493164, 1.0103974342346191, 0.001009225845336914, 0.16
41, 71.43708565828993, 1.4494785070419312, 1.0126034021377563, 0.0002705574035644531, 0.38
42, 25.944991129547557, 1.5894583463668823, 1.0182032585144043, 0.00018682479858398438, 0.45
43, 19.702919257252564, 1.7312521934509277, 1.0236725807189941, 0.00017232894897460936, 0.54
44, 44.22487727685852, 1.6062818765640259, 1.0194966793060303, 0.0002257823944091797, 0.26
45, 37.589201844815875, 1.4561623334884644, 1.0222500562667847, 0.00018138885498046874, 0.43
46, 54.44810011182674, 1.4436936378479004, 1.010711908340454, 0.00016756057739257811, 0.1
47, 34.83346438975222, 1.4301966428756714, 1.0179126262664795, 0.00017728805541992188, 0.14
48, 58.90738785721993, 1.4833800792694092, 1.0140953063964844, 0.00019350051879882813, 0.22
49, 10.639344734951605, 2.232088565826416, 1.062111258506775, 0.0001591205596923828, 0.63
50, 16.001119257591363, 1.6059696674346924, 1.0308932065963745, 0.00015807151794433594, 0.42
51, 14.453429643879527, 1.8674203157424927, 1.0225034952163696, 0.00020775794982910156, 0.45
52, 49.73641051795643, 1.3675941228866577, 1.0151240825653076, 0.0001827239990234375, 0.0
53, 51.13389733452944, 1.5140626430511475, 1.0176922082901, 0.00017323493957519532, 0.02
54, 40.8882210568622, 1.6991515159606934, 1.022590160369873, 0.00017633438110351563, 0.1
55, 46.28571216292669, 1.4123121500015259, 1.0143591165542603, 0.00017995834350585936, 0.04
56, 39.314390334421034, 1.564050555229187, 1.0197182893753052, 0.00017490386962890626, 0.06
57, 31.7663453098819, 1.5758652687072754, 1.0273441076278687, 0.0002518177032470703, 0.59
58, 69.19885015075518, 1.4221398830413818, 1.010032296180725, 0.0002026081085205078, 0.16
59, 53.866355016180265, 1.3840734958648682, 1.0137271881103516, 0.0001594066619873047, 0.03
60, 31.89524513748225, 1.548170566558838, 1.0299166440963745, 0.00014801025390625, 0.45
61, 24.868917685160486, 1.8732335567474365, 1.0276497602462769, 0.00016789436340332032, 0.45
62, 66.46025924735635, 1.349358081817627, 1.0095614194869995, 0.00018630027770996093, 0.2
63, 18.634113941049783, 1.7543625831604004, 1.0306034088134766, 0.00015664100646972656, 0.0
64, 95.14367777820576, 1.5094574689865112, 1.0211049318313599, 0.00017604827880859374, 0.54
